period,item,weight,yoy,contrib_pp
2026-02,食品烟酒及在外餐饮,29.5,1.40000000000001,0.413
2026-02,衣着,5.4,1.90000000000001,0.1026
2026-02,居住,22.1,-0.200000000000003,-0.0442
2026-02,生活用品及服务,5.5,2.8,0.154
2026-02,交通通信,14.3,-0.700000000000003,-0.1001
2026-02,教育文化娱乐,11.4,2.0,0.228
2026-02,医疗保健,8.9,1.90000000000001,0.1691
2026-02,其他用品及服务,2.9,15.4,0.4466
2026-03,食品烟酒及在外餐饮,29.5,0.4,0.118
2026-03,衣着,5.4,1.6,0.0864
2026-03,居住,22.1,-0.2,-0.0442
2026-03,生活用品及服务,5.5,1.5,0.0825
2026-03,交通通信,14.3,0.9,0.1287
2026-03,教育文化娱乐,11.4,1.1,0.1254
2026-03,医疗保健,8.9,1.9,0.1691
2026-03,其他用品及服务,2.9,13.5,0.3915
2026-04,食品烟酒及在外餐饮,29.5,-0.8,-0.236
2026-04,衣着,5.4,1.5,0.081
2026-04,居住,22.1,-0.2,-0.0442
2026-04,生活用品及服务,5.5,1.4,0.077
2026-04,交通通信,14.3,4.6,0.6578
2026-04,教育文化娱乐,11.4,1.3,0.1482
2026-04,医疗保健,8.9,2.2,0.1958
2026-04,其他用品及服务,2.9,11.0,0.319
2026-05,食品烟酒及在外餐饮,29.5,-0.9,-0.2655
2026-05,衣着,5.4,1.4,0.0756
2026-05,居住,22.1,-0.2,-0.0442
2026-05,生活用品及服务,5.5,1.8,0.099
2026-05,交通通信,14.3,5.4,0.7722
2026-05,教育文化娱乐,11.4,1.3,0.1482
2026-05,医疗保健,8.9,2.1,0.1869
2026-05,其他用品及服务,2.9,9.9,0.2871
2026-06,食品烟酒及在外餐饮,29.5,-0.8,-0.236
2026-06,衣着,5.4,1.4,0.0756
2026-06,居住,22.1,-0.3,-0.0663
2026-06,生活用品及服务,5.5,1.3,0.0715
2026-06,交通通信,14.3,4.1,0.5863
2026-06,教育文化娱乐,11.4,1.4,0.1596
2026-06,医疗保健,8.9,2.3,0.2047
2026-06,其他用品及服务,2.9,6.6,0.1914
2026-07,食品烟酒及在外餐饮,29.5,-0.8,-0.236
2026-07,衣着,5.4,1.4,0.0756
2026-07,居住,22.1,-0.3,-0.0663
2026-07,生活用品及服务,5.5,0.8,0.044
2026-07,交通通信,14.3,0.4,0.0572
2026-07,教育文化娱乐,11.4,1.3,0.1482
2026-07,医疗保健,8.9,2.9,0.2581
2026-07,其他用品及服务,2.9,5.8,0.1682
2026-08,食品烟酒及在外餐饮,29.5,-0.7,-0.2065
2026-08,衣着,5.4,1.3,0.0702
2026-08,居住,22.1,-0.3,-0.0663
2026-08,生活用品及服务,5.5,0.7,0.0385
2026-08,交通通信,14.3,2.5,0.3575
2026-08,教育文化娱乐,11.4,1.4,0.1596
2026-08,医疗保健,8.9,2.7,0.2403
2026-08,其他用品及服务,2.9,7.3,0.2117
